detector,rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person,occ_pct_box
yolo26n,6,0,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.01
yolo26n,6,15,0,0.0,0.6311,0.5346,0.6893,0.185,1907,1071,275,534,1373,0.0
yolo26n,6,15,15,15.33,0.1835,0.024,0.5899,0.1924,1907,131,53,534,1373,15.03
yolo26n,6,15,30,30.48,0.1124,0.0102,0.5424,0.1566,1907,74,34,534,1373,30.09
yolo26n,6,15,45,45.21,0.0375,0.0,0.4506,0.1236,1907,20,11,534,1373,44.71
yolo26n,6,15,60,60.32,0.0019,0.0,0.3903,,1907,1,0,534,1373,59.69
yolo26n,6,15,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.72
yolo26n,6,30,0,0.0,0.6404,0.5412,0.6879,0.1829,1907,1085,262,534,1373,0.0
yolo26n,6,30,15,15.33,0.191,0.0335,0.5708,0.2105,1907,148,50,534,1373,14.98
yolo26n,6,30,30,30.48,0.1199,0.0153,0.5456,0.169,1907,85,34,534,1373,30.2
yolo26n,6,30,45,45.21,0.0393,0.0036,0.464,0.1397,1907,26,9,534,1373,45.07
yolo26n,6,30,60,60.32,0.0019,0.0,0.3755,,1907,1,0,534,1373,60.33
yolo26n,6,30,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.36
yolo26n,6,45,0,0.0,0.5693,0.4508,0.6671,0.1887,1907,923,217,534,1373,0.0
yolo26n,6,45,15,15.33,0.1742,0.0328,0.5635,0.1993,1907,138,53,534,1373,14.78
yolo26n,6,45,30,30.48,0.1067,0.0124,0.5099,0.1673,1907,74,30,534,1373,29.85
yolo26n,6,45,45,45.21,0.03,0.0007,0.4807,0.1642,1907,17,18,534,1373,44.65
yolo26n,6,45,60,60.32,0.0019,0.0,0.2618,,1907,1,0,534,1373,59.83
yolo26n,6,45,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.0
yolo26n,6,60,0,0.0,0.2865,0.1224,0.5996,0.2016,1907,321,66,534,1373,0.0
yolo26n,6,60,15,15.33,0.0618,0.0095,0.5426,0.1888,1907,46,25,534,1373,15.07
yolo26n,6,60,30,30.48,0.0281,0.0022,0.497,0.1971,1907,18,18,534,1373,30.19
yolo26n,6,60,45,45.21,0.0131,0.0,0.3684,0.109,1907,7,10,534,1373,44.87
yolo26n,6,60,60,60.32,0.0,0.0,,,1907,0,1,534,1373,60.0
yolo26n,6,60,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.92
yolo26n,6,75,0,0.0,0.0019,0.0,0.7055,,1907,1,2,534,1373,0.0
yolo26n,6,75,15,15.33,0.0,0.0,,,1907,0,0,534,1373,15.09
yolo26n,6,75,30,30.48,0.0,0.0,,,1907,0,2,534,1373,30.15
yolo26n,6,75,45,45.21,0.0,0.0,,,1907,0,1,534,1373,44.77
yolo26n,6,75,60,60.32,0.0,0.0,,,1907,0,1,534,1373,59.7
yolo26n,6,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
yolo26n,4,0,0,0.0,0.3427,0.1988,0.6289,0.1924,1907,456,154,534,1373,0.0
yolo26n,4,0,15,15.33,0.0562,0.0036,0.4815,0.1608,1907,35,12,534,1373,15.11
yolo26n,4,0,30,30.48,0.0337,0.0029,0.4505,0.1376,1907,22,8,534,1373,30.32
yolo26n,4,0,45,45.21,0.0019,0.0007,0.4083,0.1419,1907,2,1,534,1373,45.05
yolo26n,4,0,60,60.32,0.0,0.0,,,1907,0,0,534,1373,60.1
yolo26n,4,0,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.01
yolo26n,4,15,0,0.0,0.3221,0.1799,0.6285,0.1927,1907,419,140,534,1373,0.0
yolo26n,4,15,15,15.33,0.0581,0.0022,0.579,0.1893,1907,34,6,534,1373,15.03
yolo26n,4,15,30,30.48,0.0375,0.0015,0.4915,0.1894,1907,22,8,534,1373,30.09
yolo26n,4,15,45,45.21,0.0075,0.0,0.4015,0.1269,1907,4,1,534,1373,44.71
yolo26n,4,15,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.69
yolo26n,4,15,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.72
yolo26n,4,30,0,0.0,0.3502,0.1777,0.6302,0.1913,1907,431,135,534,1373,0.0
yolo26n,4,30,15,15.33,0.0655,0.008,0.5403,0.1972,1907,46,5,534,1373,14.98
yolo26n,4,30,30,30.48,0.0318,0.0022,0.4778,0.1629,1907,20,5,534,1373,30.2
yolo26n,4,30,45,45.21,0.0056,0.0,0.5357,0.095,1907,3,1,534,1373,45.07
yolo26n,4,30,60,60.32,0.0,0.0,,,1907,0,0,534,1373,60.33
yolo26n,4,30,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.36
yolo26n,4,45,0,0.0,0.2603,0.1311,0.6145,0.1895,1907,319,80,534,1373,0.0
yolo26n,4,45,15,15.33,0.0581,0.0087,0.5495,0.1902,1907,43,12,534,1373,14.78
yolo26n,4,45,30,30.48,0.0375,0.0022,0.4848,0.1514,1907,23,7,534,1373,29.85
yolo26n,4,45,45,45.21,0.0075,0.0,0.4391,0.128,1907,4,2,534,1373,44.65
yolo26n,4,45,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.83
