rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person,occ_pct_box
8,60,15,15.33,0.088,0.0517,0.505,0.164,1907,118,183,534,1373,15.07
8,60,30,30.48,0.0131,0.0087,0.4782,0.1323,1907,19,31,534,1373,30.19
8,60,45,45.21,0.0019,0.0015,0.3878,0.0964,1907,3,7,534,1373,44.87
8,60,60,60.32,0.0,0.0,,,1907,0,2,534,1373,60.0
8,60,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.92
8,75,0,0.0,0.0019,0.0044,0.4662,0.2244,1907,7,1,534,1373,0.0
8,75,15,15.33,0.0,0.0,,,1907,0,6,534,1373,15.09
8,75,30,30.48,0.0,0.0,,,1907,0,0,534,1373,30.15
8,75,45,45.21,0.0,0.0,,,1907,0,0,534,1373,44.77
8,75,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.7
8,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
6,0,0,0.0,0.5393,0.5462,0.6551,0.1719,1907,1038,309,534,1373,0.0
6,0,15,15.33,0.118,0.0335,0.586,0.1773,1907,109,40,534,1373,15.11
6,0,30,30.48,0.0356,0.0146,0.4779,0.175,1907,39,9,534,1373,30.32
6,0,45,45.21,0.0094,0.0029,0.3924,0.1212,1907,9,7,534,1373,45.05
6,0,60,60.32,0.0019,0.0,0.4024,,1907,1,1,534,1373,60.1
6,0,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.01
6,15,0,0.0,0.5243,0.5484,0.664,0.1634,1907,1033,314,534,1373,0.0
6,15,15,15.33,0.1199,0.0371,0.5765,0.1812,1907,115,42,534,1373,15.03
6,15,30,30.48,0.0281,0.0109,0.5092,0.1614,1907,30,9,534,1373,30.09
6,15,45,45.21,0.0112,0.0022,0.4015,0.1057,1907,9,11,534,1373,44.71
6,15,60,60.32,0.0,0.0,,,1907,0,1,534,1373,59.69
6,15,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.72
6,30,0,0.0,0.5543,0.5513,0.6656,0.166,1907,1053,349,534,1373,0.0
6,30,15,15.33,0.1086,0.0554,0.5679,0.1867,1907,134,52,534,1373,14.98
6,30,30,30.48,0.0356,0.0117,0.5632,0.1521,1907,35,12,534,1373,30.2
6,30,45,45.21,0.0112,0.0058,0.5205,0.1612,1907,14,9,534,1373,45.07
6,30,60,60.32,0.0,0.0,,,1907,0,1,534,1373,60.33
6,30,75,75.38,0.0,0.0,,,1907,0,1,534,1373,75.36
6,45,0,0.0,0.5037,0.5018,0.6363,0.168,1907,958,366,534,1373,0.0
6,45,15,15.33,0.1124,0.0583,0.5393,0.1593,1907,140,74,534,1373,14.78
6,45,30,30.48,0.0337,0.0131,0.4801,0.1539,1907,36,11,534,1373,29.85
6,45,45,45.21,0.0094,0.0029,0.5407,0.1053,1907,9,5,534,1373,44.65
6,45,60,60.32,0.0037,0.0,0.2904,0.0036,1907,2,0,534,1373,59.83
6,45,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.0
6,60,0,0.0,0.2172,0.1515,0.5835,0.1693,1907,324,162,534,1373,0.0
6,60,15,15.33,0.0524,0.0233,0.4806,0.1499,1907,60,52,534,1373,15.07
6,60,30,30.48,0.0131,0.0044,0.4355,0.1212,1907,13,8,534,1373,30.19
6,60,45,45.21,0.0037,0.0015,0.3493,0.0735,1907,4,2,534,1373,44.87
6,60,60,60.32,0.0,0.0,,,1907,0,1,534,1373,60.0
6,60,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.92
6,75,0,0.0,0.0019,0.0,0.8762,,1907,1,1,534,1373,0.0
6,75,15,15.33,0.0,0.0007,0.3157,,1907,1,3,534,1373,15.09
6,75,30,30.48,0.0,0.0,,,1907,0,0,534,1373,30.15
6,75,45,45.21,0.0,0.0,,,1907,0,0,534,1373,44.77
6,75,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.7
6,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
4,0,0,0.0,0.2622,0.1792,0.5927,0.1805,1907,386,108,534,1373,0.0
4,0,15,15.33,0.0393,0.0073,0.5446,0.1571,1907,31,8,534,1373,15.11
4,0,30,30.48,0.0056,0.0022,0.57,0.1116,1907,6,1,534,1373,30.32
4,0,45,45.21,0.0019,0.0,0.2774,,1907,1,5,534,1373,45.05
4,0,60,60.32,0.0,0.0,,,1907,0,1,534,1373,60.1
4,0,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.01
4,15,0,0.0,0.2566,0.1799,0.5923,0.1831,1907,384,97,534,1373,0.0
4,15,15,15.33,0.0431,0.0087,0.5746,0.169,1907,35,1,534,1373,15.03
4,15,30,30.48,0.0019,0.0007,0.5997,0.0557,1907,2,2,534,1373,30.09
4,15,45,45.21,0.0,0.0,,,1907,0,3,534,1373,44.71
4,15,60,60.32,0.0,0.0,,,1907,0,1,534,1373,59.69
4,15,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.72
4,30,0,0.0,0.2547,0.1865,0.5988,0.1771,1907,392,97,534,1373,0.0
4,30,15,15.33,0.0431,0.0124,0.5359,0.1777,1907,40,12,534,1373,14.98
4,30,30,30.48,0.0056,0.0051,0.5395,0.1706,1907,10,2,534,1373,30.2
4,30,45,45.21,0.0,0.0036,0.5517,0.1159,1907,5,3,534,1373,45.07
4,30,60,60.32,0.0,0.0,,,1907,0,0,534,1373,60.33
4,30,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.36
4,45,0,0.0,0.2022,0.1464,0.5839,0.1803,1907,309,89,534,1373,0.0
4,45,15,15.33,0.0337,0.0095,0.5602,0.1626,1907,31,15,534,1373,14.78
4,45,30,30.48,0.0112,0.0044,0.466,0.1435,1907,12,6,534,1373,29.85
4,45,45,45.21,0.0037,0.0022,0.3776,0.081,1907,5,5,534,1373,44.65
4,45,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.83
4,45,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.0
4,60,0,0.0,0.0655,0.035,0.5509,0.1752,1907,83,41,534,1373,0.0
4,60,15,15.33,0.0056,0.0022,0.4061,0.1469,1907,6,5,534,1373,15.07
4,60,30,30.48,0.0019,0.0007,0.3154,0.0283,1907,2,3,534,1373,30.19
4,60,45,45.21,0.0,0.0,,,1907,0,1,534,1373,44.87
4,60,60,60.32,0.0,0.0,,,1907,0,1,534,1373,60.0
4,60,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.92
4,75,0,0.0,0.0019,0.0,0.8562,,1907,1,1,534,1373,0.0
4,75,15,15.33,0.0,0.0,,,1907,0,2,534,1373,15.09
4,75,30,30.48,0.0,0.0,,,1907,0,0,534,1373,30.15
4,75,45,45.21,0.0,0.0,,,1907,0,0,534,1373,44.77
4,75,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.7
4,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
